epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.8933,1.46734,2.30562,1.40293,0.68684,0.64501,0.67398,0.35286,1.57557,2.08424,1.28984,0.000474086,0.000474086,0.000474086
2,186.235,1.40847,1.46115,1.39986,0.89913,0.74042,0.8245,0.49483,1.32749,1.08193,1.18321,0.000479962,0.000479962,0.000479962
1,76.1066,1.46734,2.30562,1.40293,0.68684,0.64501,0.67398,0.35286,1.57557,2.08424,1.28984,0.000474086,0.000474086,0.000474086
2,148.807,1.51206,1.67422,1.4959,0.67034,0.6031,0.64277,0.4021,1.47715,1.9149,1.4776,0.000931601,0.000931601,0.000931601
3,221.57,1.52462,1.61511,1.54774,0.73562,0.64896,0.70834,0.39347,1.50535,1.41722,1.4641,0.00137025,0.00137025,0.00137025
4,294.673,1.5108,1.43877,1.51928,0.7662,0.7458,0.77033,0.46273,1.36762,1.2135,1.31195,0.00134412,0.00134412,0.00134412
5,369.393,1.48181,1.46075,1.45888,0.87564,0.61245,0.76959,0.42623,1.52903,1.31035,1.40005,0.00131582,0.00131582,0.00131582
6,443.657,1.44711,1.32129,1.43006,0.92765,0.72817,0.82102,0.49974,1.39116,1.063,1.3109,0.00128753,0.00128753,0.00128753
7,516.478,1.42709,1.25218,1.4264,0.89113,0.78795,0.83271,0.50878,1.44796,1.0235,1.27375,0.00125923,0.00125923,0.00125923
8,588.638,1.40092,1.25587,1.38458,0.78204,0.78379,0.75014,0.46848,1.37163,1.07199,1.28655,0.00123094,0.00123094,0.00123094
9,660.372,1.35584,1.133,1.38671,0.93875,0.82345,0.87016,0.60301,1.15691,0.89181,1.1745,0.00120265,0.00120265,0.00120265
10,733.246,1.37331,1.1253,1.38392,0.85597,0.80012,0.85128,0.54346,1.34887,0.9108,1.27675,0.00117435,0.00117435,0.00117435
11,807.518,1.38074,1.12945,1.38055,0.9215,0.76504,0.85815,0.54915,1.35437,0.89275,1.26273,0.00114606,0.00114606,0.00114606
12,879.797,1.3318,1.04552,1.34801,0.8946,0.82599,0.85949,0.5427,1.33397,0.89681,1.26723,0.00111776,0.00111776,0.00111776
13,953.086,1.28303,1.04914,1.32194,0.94509,0.81141,0.88546,0.582,1.1939,0.84686,1.18063,0.00108947,0.00108947,0.00108947
14,1025.86,1.32745,1.05198,1.36349,0.94467,0.79511,0.86513,0.56038,1.30334,0.88099,1.23033,0.00106118,0.00106118,0.00106118
15,1100.41,1.26509,0.9676,1.32508,0.9165,0.80931,0.87689,0.55861,1.36137,0.87441,1.23764,0.00103288,0.00103288,0.00103288
16,1176.91,1.2576,0.97332,1.31793,0.94786,0.8064,0.8828,0.53644,1.46487,0.85633,1.30499,0.00100459,0.00100459,0.00100459
17,1250.39,1.263,0.94858,1.31982,0.91996,0.85519,0.90541,0.55272,1.39217,0.80761,1.23049,0.000976293,0.000976293,0.000976293
18,1323.16,1.20386,0.90912,1.27534,0.95016,0.83128,0.89858,0.58713,1.2387,0.7493,1.18301,0.000947999,0.000947999,0.000947999
19,1397.38,1.22591,0.92502,1.283,0.97115,0.80623,0.8966,0.62766,1.15241,0.74127,1.15617,0.000919704,0.000919704,0.000919704
20,1470.78,1.22182,0.89543,1.30567,0.91748,0.85286,0.89465,0.56131,1.33569,0.83119,1.22295,0.00089141,0.00089141,0.00089141
21,1544.09,1.19216,0.8945,1.26384,0.98225,0.80204,0.89548,0.55165,1.44491,0.79256,1.27657,0.000863116,0.000863116,0.000863116
22,1616.52,1.16836,0.85156,1.2559,0.98188,0.84571,0.91446,0.65389,1.07342,0.71247,1.11473,0.000834822,0.000834822,0.000834822
23,1690.59,1.16415,0.83189,1.25463,0.98329,0.81189,0.90674,0.63459,1.13242,0.72613,1.11568,0.000806528,0.000806528,0.000806528
24,1770.27,1.18185,0.82776,1.25254,0.9264,0.84763,0.90747,0.62097,1.21,0.7131,1.15299,0.000778233,0.000778233,0.000778233
25,1854.61,1.15879,0.84772,1.24376,0.941,0.82348,0.90231,0.60773,1.20055,0.71754,1.16535,0.000749939,0.000749939,0.000749939
26,1939.21,1.16015,0.81472,1.23587,0.94377,0.84183,0.90391,0.64287,1.06482,0.67781,1.11096,0.000721645,0.000721645,0.000721645
27,2022.12,1.10998,0.78045,1.2261,0.95727,0.83025,0.90461,0.6614,1.01205,0.65755,1.08506,0.000693351,0.000693351,0.000693351
28,2100.99,1.13711,0.7788,1.23721,0.97866,0.83416,0.92002,0.65535,1.0544,0.61987,1.08739,0.000665057,0.000665057,0.000665057
29,2176.5,1.11931,0.78027,1.20551,0.95763,0.86014,0.91789,0.66432,1.03098,0.63626,1.0858,0.000636762,0.000636762,0.000636762
30,2251.06,1.10831,0.78303,1.21155,0.97026,0.86948,0.92894,0.63311,1.20094,0.62736,1.13572,0.000608468,0.000608468,0.000608468
31,2325.45,1.10294,0.74545,1.20256,0.95693,0.88852,0.93255,0.64486,1.16544,0.62381,1.1264,0.000580174,0.000580174,0.000580174
32,2403.92,1.08591,0.73515,1.19465,0.96551,0.87979,0.9275,0.65745,1.11417,0.61186,1.11644,0.00055188,0.00055188,0.00055188
33,2477.42,1.0712,0.74299,1.18823,0.95661,0.8821,0.92177,0.6707,1.10199,0.61962,1.0903,0.000523586,0.000523586,0.000523586
34,2552.19,1.09441,0.7393,1.19631,0.95844,0.88553,0.92676,0.67936,1.00905,0.59336,1.05386,0.000495291,0.000495291,0.000495291
35,2625.07,1.05456,0.71219,1.17449,0.94003,0.85895,0.9155,0.63924,1.14753,0.64465,1.11772,0.000466997,0.000466997,0.000466997
36,2697.19,1.03957,0.71307,1.17233,0.98431,0.87152,0.93129,0.68447,1.02928,0.57272,1.05855,0.000438703,0.000438703,0.000438703
37,2771.4,1.04292,0.67635,1.1729,0.97447,0.84189,0.92917,0.67787,1.0467,0.58915,1.0639,0.000410409,0.000410409,0.000410409
38,2845.11,1.00702,0.64782,1.15868,0.96371,0.88844,0.93098,0.70026,0.96267,0.54997,1.03568,0.000382115,0.000382115,0.000382115
39,2918.16,1.01644,0.67962,1.15609,0.96656,0.87507,0.92277,0.66036,1.13409,0.59137,1.09496,0.00035382,0.00035382,0.00035382
40,2992.34,1.01042,0.64794,1.14607,0.9602,0.8866,0.94096,0.66608,1.1653,0.57354,1.09898,0.000325526,0.000325526,0.000325526
41,3065.41,0.90218,0.5225,1.06089,0.96988,0.87463,0.92853,0.68878,1.07231,0.55567,1.06619,0.000297232,0.000297232,0.000297232
42,3131.98,0.90566,0.50127,1.06407,0.96899,0.88914,0.92829,0.65962,1.15884,0.58016,1.1073,0.000268938,0.000268938,0.000268938
43,3198.65,0.88421,0.49179,1.05416,0.97485,0.8868,0.93175,0.68931,1.07891,0.55709,1.06976,0.000240644,0.000240644,0.000240644
44,3265.13,0.88945,0.48335,1.04903,0.96445,0.90162,0.93505,0.67624,1.10078,0.55224,1.085,0.000212349,0.000212349,0.000212349
45,3331.73,0.90086,0.49035,1.04664,0.98111,0.87457,0.93517,0.68641,1.07709,0.53421,1.079,0.000184055,0.000184055,0.000184055
46,3398,0.85229,0.4601,1.03916,0.96403,0.88936,0.92948,0.68463,1.08225,0.53848,1.08003,0.000155761,0.000155761,0.000155761
47,3464.66,0.84123,0.46013,1.02722,0.97318,0.8958,0.93011,0.69409,1.03797,0.54398,1.043,0.000127467,0.000127467,0.000127467
48,3531.2,0.82169,0.43962,1.02457,0.97269,0.89581,0.93212,0.7199,0.93953,0.51798,1.01062,9.91726e-05,9.91726e-05,9.91726e-05
49,3597.62,0.83817,0.44761,1.03382,0.96948,0.8927,0.93599,0.72518,0.92499,0.50227,1.00174,7.08784e-05,7.08784e-05,7.08784e-05
50,3663.88,0.81495,0.43695,1.02629,0.96734,0.89463,0.93592,0.73174,0.93506,0.48899,1.00237,4.25842e-05,4.25842e-05,4.25842e-05
1,82.0803,1.46838,2.34026,1.45122,0.84997,0.4793,0.68065,0.38358,1.44421,1.68303,1.27626,0.000474097,0.000474097,0.000474097
2,156.804,1.52267,1.76748,1.49762,0.673,0.61171,0.67348,0.40535,1.6147,2.01313,1.47955,0.000941021,0.000941021,0.000941021
