epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.09,1.57596,2.12227,1.73399,0.64945,0.54,0.60576,0.3647,1.53067,1.71715,1.62882,0.0670102,0.000266047,0.000266047
2,290.25,1.61701,1.75403,1.78535,0.70533,0.67609,0.73734,0.46376,1.40821,1.45332,1.57129,0.03394,0.000529197,0.000529197
3,428.707,1.57208,1.60142,1.76821,0.81507,0.77171,0.82536,0.47976,1.48066,1.17813,1.57093,0.000866347,0.000788828,0.000788828
4,565.022,1.54062,1.53458,1.73402,0.81628,0.72558,0.80813,0.4986,1.49991,1.20476,1.5534,0.00078416,0.00078416,0.00078416
5,719.207,1.54482,1.52073,1.72113,0.8186,0.79542,0.85166,0.51438,1.48659,1.09858,1.54549,0.00077888,0.00077888,0.00077888
6,856.358,1.49999,1.41129,1.71153,0.90769,0.77879,0.8485,0.54494,1.40692,1.069,1.54341,0.0007736,0.0007736,0.0007736
7,992.628,1.4537,1.36428,1.66535,0.8463,0.82215,0.86144,0.5006,1.56377,0.982,1.60919,0.00076832,0.00076832,0.00076832
8,1128.71,1.40775,1.26559,1.6142,0.90021,0.80146,0.86469,0.53376,1.44077,1.02281,1.51357,0.00076304,0.00076304,0.00076304
9,1265.03,1.43539,1.28078,1.64217,0.86084,0.79933,0.86255,0.55134,1.42585,0.96556,1.4724,0.00075776,0.00075776,0.00075776
10,1400.4,1.37558,1.2272,1.58633,0.86666,0.81671,0.87383,0.5136,1.56093,0.93809,1.56068,0.00075248,0.00075248,0.00075248
11,1535.68,1.41973,1.23626,1.64969,0.9016,0.83587,0.88997,0.5772,1.263,0.89595,1.40228,0.0007472,0.0007472,0.0007472
12,1673.07,1.41064,1.26898,1.63952,0.87506,0.84269,0.89644,0.56942,1.42091,0.87685,1.46047,0.00074192,0.00074192,0.00074192
13,1809.17,1.34813,1.13406,1.57402,0.9161,0.85186,0.895,0.55769,1.46076,0.85229,1.49972,0.00073664,0.00073664,0.00073664
14,1947.23,1.37796,1.21169,1.61975,0.95352,0.78938,0.90039,0.56188,1.42785,0.90832,1.47948,0.00073136,0.00073136,0.00073136
15,2084.24,1.30609,1.13748,1.54349,0.89634,0.81391,0.89786,0.57602,1.41206,0.86335,1.45231,0.00072608,0.00072608,0.00072608
16,2221.98,1.31409,1.14048,1.55302,0.86711,0.85665,0.89579,0.55767,1.43433,0.86457,1.49163,0.0007208,0.0007208,0.0007208
17,2357.78,1.32525,1.06109,1.55564,0.90135,0.84469,0.89147,0.56908,1.32741,0.82866,1.41055,0.00071552,0.00071552,0.00071552
18,2493.57,1.32781,1.08042,1.55177,0.90105,0.81068,0.87918,0.57241,1.33412,0.86521,1.41757,0.00071024,0.00071024,0.00071024
19,2629.76,1.27736,1.04361,1.51003,0.94328,0.82686,0.89819,0.54781,1.45615,0.81489,1.46874,0.00070496,0.00070496,0.00070496
20,2774.53,1.28111,1.03195,1.48848,0.91973,0.83389,0.8995,0.57566,1.39234,0.76694,1.468,0.00069968,0.00069968,0.00069968
21,2931.22,1.29591,1.0441,1.52384,0.95159,0.8587,0.9141,0.58788,1.34924,0.7787,1.42369,0.0006944,0.0006944,0.0006944
22,3080.44,1.29229,1.03298,1.52489,0.93697,0.87627,0.92136,0.6239,1.26065,0.73311,1.37721,0.00068912,0.00068912,0.00068912
23,3227.83,1.25808,0.98986,1.5214,0.9148,0.86365,0.91935,0.6244,1.26282,0.75275,1.35371,0.00068384,0.00068384,0.00068384
24,3368.85,1.26845,0.97421,1.47955,0.94782,0.86185,0.91223,0.59596,1.31231,0.72278,1.38241,0.00067856,0.00067856,0.00067856
25,3513.44,1.24338,0.98184,1.47033,0.97605,0.8419,0.90953,0.56971,1.36627,0.7501,1.40624,0.00067328,0.00067328,0.00067328
26,3659.28,1.23843,0.93302,1.46874,0.94428,0.87069,0.92362,0.58468,1.40382,0.71274,1.46072,0.000668,0.000668,0.000668
27,3798,1.23548,0.92348,1.45479,0.93993,0.87887,0.9283,0.61857,1.25665,0.69702,1.33057,0.00066272,0.00066272,0.00066272
28,3936.94,1.23676,0.92872,1.46596,0.94026,0.89613,0.93191,0.6077,1.30553,0.69659,1.39453,0.00065744,0.00065744,0.00065744
29,4074.63,1.20347,0.89185,1.45756,0.91973,0.89194,0.9232,0.58982,1.38494,0.70458,1.44073,0.00065216,0.00065216,0.00065216
30,4212.1,1.21061,0.91089,1.44561,0.8993,0.88743,0.92541,0.56599,1.45042,0.73437,1.43518,0.00064688,0.00064688,0.00064688
